human_gene	chicken_gene
TNFRSF10C	TNFRSF18
TNFRSF10C	TNFRSF4
TTPA	TTPA
USP18	USP41
COA8	APOPT1
HMCN1	HMCN1
NEUROD1	NEUROD1
LACTB2	LACTB2
ARK2N	CZH18ORF25
SP3	SP3
GZMH	CTSG
DCTN6	DCTN6
PDC	PDC
SMAD7	SMAD7B
SMAD7	SMAD7
TRIB2	TRIB2
SLC38A6	SLC38A6
MIR34A	gga-mir-34a
ADAMTS5	ADAMTS5
CASP6	CASP6
TMEM241	TMEM241
MIR30E	gga-mir-30e
MIR30C1	gga-mir-30c-1
IFNAR1	IFNAR1
RNF215	RNF215
AK3	AK3
SCARNA3	SCARNA3
MIR205	gga-mir-205a
RIDA	RIDA
FAM43B	FAM43B
KCTD17	KCTD17
MCTS2	MCTS1
SLC52A3	SLC52A3
APCS	CRPL1
APCS	CRPL2
C5	C5
CTR9	CTR9
CRP	CRPL1
CRP	CRPL2
FAM133A	FAM133B
VSIG8	VSIG8
TMEM64	TMEM64
OPRL1	OPRL1
TNRC6B	TNRC6B
CFAP45	CFAP45
MAL2	MAL2
SPATA7	SPATA7
BSX	BSX
LRRN4	LRRN4
PBK	PBK
SNORD14D	SNORD14
SNORD14C	SNORD14
HSF2BP	HSF2BP
LIN7C	LIN7C
NCOA3	NCOA3
NLGN1	NLGN1
ZMYM3	ZMYM3
PSMG1	PSMG1
H1-10	H1-10
TMEM150C	TMEM150C
USP19	USP19
CNTNAP5	CNTNAP5
SCD5	SCD5
CABLES1	CABLES1
NBEAL1	NBEAL1
PLXNB2	PLXNB2
EDNRB	EDNRB
GNRHR	GNRHR
TMPRSS11D	TMPRSS12
C8G	C8G
GAREM1	GAREM1
TMPRSS11A	TMPRSS12
SCEL	SCEL
ALMS1	ALMS1
LRR1	LRR1
DYM	DYM
CENPS	CENPS
IQCH	IQCH
XKR8	XKR8
SNX30	SNX30
PPP1R3E	ATMIN
NOL6	NOL6
KCNE4	KCNE4
SAG	SAG
ACP3	ACPP
LCNL1	EXFABP
SPAG8	SPAG8
C15orf61	C15orf61
SAXO2	SAXO2
DENND3	DENND3
TENM3	TENM3
MAML2	MAML2
NFKBIZ	NFKBIZ
TNFSF8	TNFSF8
SCARNA2	SCARNA2
RGS9BP	RGS9BP
CD3D	CD3D
ADAMTSL1	ADAMTSL1
NUDT19	NUDT19
NEB	NEB
PHLDA2	PHLDA2
BGLAP	BGLAP
MIR9-1	gga-mir-9-4
BEST1	BEST1
MEX3A	MEX3A
CYP4Z1	CYP4B7
VHLL	VHL
LRRC52	LRRC52
ATP6V0D2	ATP6V0D2
COA6	COA6
DAPP1	DAPP1
LEPR	LEPR
ZNF532	ZNF532
NAF1	NAF1
TNKS	TNKS
FUT7	CFTII
REC8	REC8
ARID3C	ARID3C
BCOR	BCOR
MAMSTR	MTDH
DCAF10	DCAF10
USE1	USE1
SLC6A5	SLC6A5
NDST3	NDST3
RNU5B-3P	U5
TGM4	TGM4
DNAI1	DNAI1
CDH23	CDH23
PLK4	PLK4
UBE2R2	UBE2R2
DDOST	DDOST
PALM2AKAP2	PALM2AKAP2
SSTR1	SSTR1
ATP2B2	ATP2B2
L3HYPDH	L3HYPDH
TNFRSF8	TNFRSF8
L2HGDH	L2HGDH
GPR20	GPR20
FBXO32	FBXO32
AFM	AFP
LZTS3	LZTS3
RBBP4	RBBP4
EMC2	EMC2
GALNT16	GALNT16
TTLL11	TTLL11
CTHRC1	CTHRC1
ASTN2	ASTN2
COLEC10	COLEC10
LDB2	LDB2
SLC39A9	SLC39A9
NECAB1	NECAB1
TRMT2A	TRMT2A
MOGS	MOGS
GJA8	GJA8
MED12	MED12
RNU1-129P	U1
ITCH	ITCH
CEP97	CEP97
ADAMDEC1	ADAM9L
PLPPR1	PLPPR1
RNU2-53P	U2
FMN1	FMN1
TMEM53	TMEM53
SNORD55	SNORD39
SNORD11B	SNORD11B
CDKN2AIP	CDKN2AIP
BTBD7	BTBD7
BMPR2	BMPR2
TAS1R1	TAS1R1
GALNT7	GALNT7
NTRK2	NTRK2
NAT2	PNAT10
NAT2	PNAT3
NAT2	NAT
PTDSS1	PTDSS1
EPHA8	EPHA8
MT1HL1	MT4
FAM181A	FAM181A
FAM117B	FAM117B
ATP13A2	ATP13A2
ARF6	ARF6
MCTS1	MCTS1
ADRA2B	ADRA2B
AQP12A	AQP12A
STK32B	STK32B
INF2	INF2
MARVELD1	MARVELD1
SFRP5	SFRP5
FGF12	FGF12
NYX	NYX
PMM1	PMM1
PINX1	PINX1
VAX1	VAX1
KCNK18	KCNK18
XCR1	XCR1
PLA2G12A	PLA2G12A
SLCO4A1	SLCO4A1
DEPTOR	DEPTOR
GRM7	GRM7
SLC66A2	PQLC1
BMP2K	BMP2K
GLIPR2	GLIPR2
TEX36	TEX36
PADI1	PADI3
PADI1	PADI1
NCKAP5	NCKAP5
LCN2	LCN15
KLB	KLB
OAZ1	OAZ1
ANGPT2	ANGPT2
CFAP99	CFAP99
TIMM8A	TIMM8A
SURF1	SURF1
HHIPL2	HHIPL2
EIF1B	EIF1B
CNDP1	CNDP1
AKR1C8	AKR1B10
SLC7A14	SLC7A14
HSD3B1	HSD3B1
HSD3B1	HSD3B7
UCN3	UCN3
OGG1	OGG1
RNF224	RNF224
ADAM30	ADAM9L
INSRR	INSRR
THSD7B	THSD7B
HAUS6	HAUS6
INPP4B	INPP4B
SLC25A5	SLC25A5
SELENOW	SELENOW
SPAG16	SPAG16
SMPX	SMPX
CDH19	CDH19
DCLRE1A	DCLRE1A
RIN2	RIN2
PROK1	PROK1
KCNA10	KCNA10
SPAG6	SPAG6
CSDC2	CSDC2
KCNK3	KCNK3
SORBS3	SORBS3
RNU1-114P	U1
ORM2	ORM1
RNVU1-23	U1
GLRX2	GLRX2
MTMR1	MTMR1
DHRS2	DHRS4
SOCS6	SOCS6
NRXN1	NRXN1
IQSEC1	IQSEC1
KCNC4	KCNC4
GRIN3B	GRIN3B
RNU6-2	U6
SS18	SS18
DNLZ	DNLZ
RGS19	RGS19
FREM1	FREM1
RNF186	RNF186
PLA2G2E	PLA2G2E
RGS12	RGS12
MOK	MOK
ALG1L2	ALG1
PYGB	PYGB
CRB2	CRB2
FHIT	FHIT
XPNPEP3	XPNPEP3
AIF1L	C9ORF58
CD200R1L	CD200R1B
CD200R1L	CD200R1A
CD1C	CD1G
CD1C	CD1F
PPP4R2	PPP4R2
CALML4	CALML4
SUSD5	SUSD5
CHRFAM7A	CHRNA7
A1CF	A1CF
GDA	GDA
GGT1	GGT2
MANF	MANF
MTSS1	MTSS1
RBM15B	RBM15B
EFCAB12	EFCAB12
FSTL5	FSTL5
PLCXD2	PLCXD2
SLC30A4	SLC30A4
HCCS	HCCS
SST	SST1
BCL6	BCL6
RHOJ	RHOJ
MAN2A2	MAN2A2
NT5DC4	NT5DC4
MIXL1	MIXL1
GTF3C4	GTF3C4
PRSS12	PRSS12
TXLNG	TXLNG
NIPSNAP3B	NIPSNAP3A
EVX2	EVX2
FAM174C	C19orf24
HORMAD1	HORMAD1
ZNF462	ZNF462
GCH1	GCH1
ASIC4	ASIC4
AKNA	AKNA
SULT6B1	SULT6B1
MCL1	MCL1
GLRX5	GLRX5
NOCT	NOCT
GPR68	GPR4
DNAJC5G	DNAJC5G
NRG4	NRG4
MTX3	MTX3
MCUB	MCUB
GPR65	GPR65
UCN	UCN
EFCAB11	EFCAB11
SPZ1	MIA3
CLDN19	CLDN19
MIB1	MIB1
PHACTR3	PHACTR3
ASH1L	ASH1L
SH2D3C	SH2D3C
ASB14	ASB14
CD38	CD38
REPS2	REPS2
PRIMA1	PRIMA1
KCNAB1	KCNAB1
LOXL1	LOXL1
RCOR1	RCOR1
SLC18A1	SLC18A1
GLDN	GLDN
SULT1B1	SULT1B
SULT1B1	SULT1B1
TMX1	TMX1
PNN	PNN
MEGF11	MEGF11
TNIP3	TNIP3
TMEM237	TMEM237
PCIF1	PCIF1
PGM5	PGM5
VAMP7	VAMP7
TMEM154	TMEM154
TSSK3	TSSK3
NR3C2	NR3C2
ANKRD28	ANKRD28
ENTPD2	ENTPD2
SLC28A1	SLC28A2
C1orf115	C3H1ORF115
INKA2	FAM212B
ERH	ERH
RNASE11	RNASE6
RNASE11	RSFR
IFT74	IFT74
ARK2C	RNF165
SYTL4	SYTL4
ARHGAP30	ARHGAP30
ZFAND1	ZFAND1
ANKRD50	ANKRD50
EAPP	EAPP
ZNF335	ZNF335
NDUFV2	NDUFV2
TTC29	TTC29
KLHDC2	KLHDC2
DAZL	DAZL
ANGPTL2	ANGPTL2
CA9	CA9
CNOT6L	CNOT6L
PXMP4	PXMP4
MIER1	MIER1
GPR15	GPR15
FUNDC2	FUNDC2
SRSF6	SRSF6
ALDOB	ALDOB
SH3TC1	SH3TC1
MAP3K19	MAP3K19
SNRPD1	SNRPD1
PCNX4	PCNX4
NOP56	NOP56
GGH	GGH
CAB39L	CAB39L
TMEM200C	TMEM200C
FANCM	FANCM
BMX	BMX
MPPE1	MPPE1
TDO2	TDO2
REXO4	REXO4
PCARE	C2orf71
ZC3H11A	ZC3H11A
CLRN3	CLRN3
SNORD51	SNORD51
CMKLR2	GPR1
LRIT3	LRIT3
DNAJC12	DNAJC12
MBD3L2B	MBD3
TMEM156	TMEM156
HNRNPH2	HNRNPH1
C5AR1	C5AR1
CXCR1	CXCR1
SETDB2	SETDB2
CDK5RAP1	LBP
MCU	MCU
BAAT	BAAT
MIR26B	gga-mir-26a
SLC10A7	SLC10A7
FBXO16	FBXO16
HNRNPUL1	HNRNPUL1
FMR1	FMR1
LHFPL6	LHFPL1
HDC	HDC
SLC38A11	SLC38A11
IDNK	IDNK
MTIF3	MTIF3
WDFY4	WDFY4
DNAJC25	DNAJC25
PLEKHA2	PLEKHA2
DMRT3	DMRT1
RNF208	RNF208
XPA	XPA
GPR75	GPR75
FKBP7	FKBP7
ADGRA3	ADGRA3
KIF12	KIF12
RBPMS	RBPMS
EPHB2	EPHB2
OIT3	OIT3
CDC37L1	CDC37L1
UPF3A	UPF3A
ZEB1	ZEB1
PDE12	PDE12
TMEM184C	TMEM184C
ALG2	ALG2
DNAL1	DNAL1
LIMS3	LIMS1
GADD45G	GADD45G
SEPTIN11	SEPTIN11
MAIP1	MAIP1
RANBP3	RANBP3
ASPN	BGN
TRIM62	TRIM62
RAB8B	RAB8B
NEK5	NEK5
RBMXL1	RBMXL1
ADAMTS13	ADAMTS13
TCL1B	MTCP1
MAPK8	MAPK8
IFI6	IFI27L2
SELENOT	SELENOT
GNPNAT1	GNPNAT1
EIF3J	EIF3J
RASL11A	RASL11A
FNTA	FNTA
GJB6	GJB6
GJB6	GJB2
ERICH6	ERICH6
RHOV	RHOV
PTGS2	PTGS2
DNAAF4	DNAAF4
ABCC4	ABCC4
TUNAR	TUNAR
C14orf39	C14ORF39
MINDY4B	FAM188B2
ADH6	ADH1C
CDIN1	CDIN1
SOX2	SOX2
AADACL2	AADACL3C
AADACL2	AADACL3B
EFCAB14	EFCAB14
P2RY1	P2RY1
C1QTNF7	C1QTNF7
TGIF2	TGIF2
DYNC1H1	DYNC1H1
SNORC	SNORC
SLC30A1	SLC30A1
DMRT2	DMRT2
MSH4	SGF29
RNF19A	RNF19A
TRAK1	TRAK1
TTPAL	TTPAL
ADGRL3	ADGRL3
NYAP2	NYAP2
PRRX2	PRRX2
WBP1L	WBP1L
KIF24	KIF24
AKT3	AKT3
MARS2	MARS2
CXCR4	CXCR4
GRHL2	GRHL2
MAMDC2	MAMDC2
DPY19L3	DPY19L3
ADGRA1	ADGRA1
DPYS	DPYS
LIMS4	LIMS1
SLC24A2	SLC24A2
DMBT1	DMBT1
CTLA4	CTLA4
ADRM1	ADRM1
LSAMP	LSAMP
ABCB7	ABCB7
RNU6-542P	U6
TTC39B	TTC39B
VHL	VHL
C1orf174	C1orf174
FHOD3	FHOD3
RAP2B	RAP2B
COMMD6	COMMD6
RRP7A	RRP7A
RNF223	RNF223
CCR4	CCR4
GIPC3	GIPC3
SASS6	SASS6
GLB1	GLB1
TMEM65	TMEM65
TLN1	TLN1
ARNT2	ARNT2
SUPT20H	SUPT20H
RTKN	RTKN
PMP2	FABP9
ETNPPL	ETNPPL
BRDT	BRDT
SMDT1	SMDT1
ABRA	ABRA
FAM83A	FAM83A
VAPB	VAPB
ESS2	DGCR14
TMPPE	TMPPE
KLF10	KLF10
IFIH1	IFIH1
CDH22	CDH22
RUFY4	RUFY4
TM4SF19	TM4SF19
RAD54B	RAD54B
DDHD1	DDHD1
TMEM250	C9orf69
MYL9	MYL9
SP5	SP5
KLF13	KLF13
RHPN2	RHPN2
PICK1	PICK1
PTAR1	PTAR1
AQP9	AQP9
ZNF185	ZNF185
GAB1	GAB1
SLC2A4RG	SLC2A4RG
RNF20	RNF20
RN7SL674P	Metazoa_SRP
PROKR1	PROKR1
ARHGAP25	ARHGAP25
CYP1A2	CYP1A2
CYP1A2	CYP1A1
KPNA6	KPNA6
NCOA2	NCOA2
STOX2	STOX2
SNORD21	SNORD21
SNORA66	SNORA66
CD40	CD40
MSTN	MSTN
RLBP1	RLBP1
LCORL	LCORL
WNK2	WNK2
POLR1B	POLR1B
ECE1	ECE1
LYSMD2	LYSMD2
HSPA4L	HSPA4L
COMTD1	COMTD1
PRKDC	PRKDC
ZNF592	ZNF592
JAG1	JAG1
MTHFS	MTHFS
GUCD1	GUCD1
TACC2	TACC2
DLL4	DLL4
ATCAY	ATCAY
SLIT2	SLIT2
ZNF516	ZNF516
AP4E1	AP4E1
LRRIQ3	LRRC9
CHCHD5	CHCHD5
ERICH3	ERICH3
MBD2	MBD2
TRMT10B	TRMT10B
KCNG2	KCNG2
LILRB3	CHIR-IG1-5
LILRB3	CHIR1AB3
LILRB3	CHIR-AB-600
LILRB3	CHIR-AB-502
LILRB3	IGSF1
LILRB3	CHIR-AB-487
LILRB3	CHIR-B3
PLCB4	PLCB4
SMCHD1	SMCHD1
PLB1	PLB1
MRNIP	MRNIP
AP5M1	AP5M1
PLA2G4B	PLA2G4B
PLA2G4B	PLA2G4EL6
PLA2G4B	PLA2G4EL2
THBS1	THBS1
SOCS4	SOCS4
STMN2	STMN2
RABL6	RABL6
THOC1	THOC1
HSP90AA1	HSP90AA1
OBSCN	OBSCN
PSTPIP1	PSTPIP1
MSC	MSC
CERK	CERK
ADCY8	ADCY8
MSN	MSN
SCRG1	SCRG1
ZNF827	ZNF827
SPDYA	SPDYA
HACD4	HACD4
SUSD3	SUSD3
TM2D2	TM2D2
ARHGEF9	ARHGEF9
SNORD53	SNORD53
CLVS1	CLVS1
CACNA1B	CACNA1B
CTIF	CTIF
ARHGAP35	ARHGAP35
PRDM14	PRDM14
RAB11A	RAB11A
VCPKMT	VCPKMT
TERF1	TERF1
SLIRP	SLIRP
GATM	GATM
F11	KLKB1
FAM91A1	FAM91A1
PLEKHD1	PLEKHD1
SMTN	SMTN
CILP2	CILP2
RNU7-96P	U7
MFSD2B	MFSD2B
MAMDC4	MAMDC4
LILRA5	CHIR-IG1-5
LILRA5	CHIR1AB3
LILRA5	CHIR-AB-600
LILRA5	CHIR-AB-502
LILRA5	IGSF1
LILRA5	CHIR-AB-487
LILRA5	CHIR-B3
SNAPC1	SNAPC1
RPL8	RPL8
ACSBG1	ACSBG1
WDCP	WDCP
FKBP1B	FKBP1B
CHRNA3	CHRNA3
CRACD	CRACD
EML6	EML6
FXN	FXN
LIPG	LIPG
PIK3AP1	PIK3AP1
FAM174B	FAM174B
H2AC20	H2AC39
TMEM192	TMEM192
NTAQ1	WDYHV1
FAM163B	FAM163B
KIF21B	KIF21B
DPH6	DPH6
AMMECR1L	AMMECR1L
TNIP2	TNIP2
PIK3C3	PIK3C3
GLCE	GLCE
GNAQ	GNAQ
EPHA5	EPHA5
CBX6	CBX6
TM6SF2	TM6SF2
ZDHHC22	ZDHHC22
SNX22	SNX22
ARL5B	ARL5B
IAH1	IAH1
MIPEP	MIPEP
DICER1	DICER1
PDZD8	PDZD8
IGBP1	IGBP1
CPSF1	CPSF1
KIF27	KIF27
C15orf39	MUC1
LRRC66	LRRC66
CCDC3	CCDC3
STAP1	STAP1
SLC27A5	SLC27A2
KATNAL2	KATNAL2
FGFBP2	FGFBP2
LIPC	LIPC
ANK3	ANK3
MAML3	MAML3
MAGED1	NSMCE3
ZNF608	ZNF608
IGFN1	IGFN1
GABRA4	GABRA4
GBX2	GBX2
POLR1E	POLR1E
DTHD1	DTHD1
AGAP1	AGAP1
SAMD13	THAP10
TMX3	TMX3
EED	EED
USP46	USP46
RBM26	RBM26
TMEM81	TMEM81
LEFTY2	LEFTY1
GTF3C5	GTF3C5
MPV17L2	MPV17L2
PIP4P1	PIP4P1
NIPAL1	NIPAL1
ADCYAP1	ADCYAP1
MED29	MED29
RHD	RHCE
SCG2	SCG2
HSPB3	HSPB3
LILRB5	CHIR-IG1-5
LILRB5	CHIR1AB3
LILRB5	CHIR-AB-600
LILRB5	CHIR-AB-502
LILRB5	IGSF1
LILRB5	CHIR-AB-487
LILRB5	CHIR-B3
ESM1	ESM1
CD8A	CD8A
HEATR5A	HEATR5A
DRG1	DRG1
ANKRD12	ANKRD12
CREBZF	CREBZF
GZMA	GZMA
CDC20B	CDC20B
WT1	WT1
MIR449B	gga-mir-449b
MCIDAS	MCIDAS
ITGA11	ITGA11
FGB	FGB
NT5C1B	NT5C1B
HMGB1	HMGB1
SEH1L	SEH1L
ZMAT5	ZMAT5
PSAT1	PSAT1
VRTN	VRTN
TCF7	TCF7
TMEM266	TMEM266
HPF1	HPF1
BIRC6	BIRC6
CEP170B	CEP170B
CYP4V2	CYP4V2
AP1B1	AP1B1
MTAP	MTAP
TICAM1	TICAM1
RAB39A	RAB39A
CPEB1	CPEB1
TRMT44	TRMT44
DDIT4	DDIT4
PSMB5	PSMB5
MAT1A	MAT1A
GPX8	GPX8
ATP8A1	ATP8A1
KIF26A	KIF26A
SNX18	SNX18
PHAX	PHAX
PRLR	PRLR
APBB1IP	APBB1IP
ITM2B	ITM2B
CHURC1	CHURC1
PSMB7	PSMB7
FAM177A1	FAM177A1
FNDC3A	FNDC3A
TTBK2	TTBK2
PPP1R36	PPP1R36
CPO	CPO
CABP7	CABP7
PLCE1	PLCE1
RTCB	RTCB
ARG2	ARG2
LRRC49	LRRC49
NAA30	NAA30
VTI1B	VTI1B
DUSP19	DUSP19
CNTLN	CNTLN
AQP7B	AQP7
FGG	FGG
TOMM5	TOMM5
IFT43	IFT43
TOM1	TOM1
MPHOSPH8	MPHOSPH8
TNS1	TNS1
PPARGC1A	PPARGC1A
KLF6	KLF6
SIVA1	SIVA1
PPP4R1	PPP4R1
ERAP1	ERAP1
NUP58	NUP58
VTI1A	VTI1A
MORN5	MORN5
TRMT5	TRMT5
FGF7	FGF7
TTC9	TTC9
PTPA	PTPA
LYSET	TMEM251
SUV39H2	SUV39H2
UBAP1L	UBAP1L
GREM1	GREM1
ARFGAP1	ARFGAP1
GOLGA6B	GOLGA2
CPN1	CPN1
IL16	IL16
PTP4A2	PTP4A2
MBL2	MBL2
CBY1	CBY1
CDKN3	CDKN3
BORCS7	BORCS7
YJU2	CCDC94
BMP3	BMP3
REEP3	REEP3
HPSE	HPSE
AKR1C3	AKR1B10
ADGRB2	ADGRB2
GDNF	GDNF
SRD5A1	SRD5A1
PIGN	PIGN
SKP2	SKP2
COX15	COX15
EHMT1	EHMT1
ANXA8	ANXA8L1
YDJC	YDJC
C5AR2	C5AR1
RBFOX2	RBFOX2
SHISA3	SHISA3
SCFD2	SCFD2
TMA16	TMA16
KDM2B	KDM2B
TRMT2B	TRMT2B
SECISBP2L	SECISBP2L
LRAT	LRAT
DMAC2L	ATP5S
OLFML2B	OLFML2B
TTC24	TTC24
LRBA	LRBA
CREG2	CREG2
EGLN3	EGLN3
DNASE2B	DNASE2B
CDC34	CDC34
RBM15	RBM15
G2E3	G2E3
OIP5	OIP5
KLHDC7A	KLHDC7A
HABP2	HABP2
RPLP1	RPLP1
GAB3	GAB3
GPR37L1	GPR37L1
CELF3	CELF3
HIGD2B	HIGD2A
ZWILCH	ZWILCH
FANCC	FANCC
YLPM1	YLPM1
MRPL9	MRPL9
PAX2	PAX2
PLEK	PLEK
ASPHD2	ASPHD1
FKBP3	FKBP3
ACO2	ACO2
SLC35C2	SLC35C2
TFAP2E	TFAP2E
PLEKHH1	PLEKHH1
CACNB4	CACNB4
HPDL	HPDL
SPOCK2	SPOCK2
H2BC3	H2BC32
MFAP3	MFAP3
CCSAP	CCSAP
DDX31	DDX31
RICTOR	RICTOR
SYT15B	SYT15
AMY2A	AMY2A
AMY2A	AMY1A
ZNF365	ZNF365
C1orf146	C1orf146
IPMK	IPMK
PNRC1	PNRC1
ANKRD22	ANKRD22
OR14A16	OR14J1L67
OR14A16	OR14J1L16
EIF4EBP2	EIF4EBP2
RAB11FIP2	RAB11FIP2
SCAMP5	SCAMP5
GDF10	GDF10
PPP6C	PPP6C
MMRN2	MMRN2
CTRC	CTRC
RBM18	RBM18
TMEM254	TMEM254
OR14K1	OR14J1L67
OR14K1	OR14J1L16
OR9H1	OR5AP2
FAM120A	FAM120C
TFAP2A	TFAP2A
BLNK	SH2D6
CISD2	CISD2
GRSF1	GRSF1
IER5	IER5
OPN3	cOpn3m
SLC7A9	SLC7A9
EDA2R	EDA2R
CHML	CHM
BCL9	BCL9
C8orf76	C2H8ORF76
CHRNA5	CHRNA5
BECN2	BECN1
DHRS7	DHRS7
WDR64	WDR64
TXN	TXN
MESD	MESDC2
CHRDL1	CHRDL1
MTMR7	MTMR7
STARD5	STARD5
DAP	DAP
NEURL1B	NEURL1B
SGCB	SGCB
EIF2B2	EIF2B2
UBR1	UBR1
RNF130	RNF130
SHROOM3	SHROOM3
SHB	SHB
POP1	POP1
ZBTB34	ZBTB34
IPPK	IPPK
N4BP2	N4BP2
UGT8	UGT8
MAGT1	MAGT1
ITGA2	ITGA2
NUP214	NUP214
PRAM1	PRAM1
NEFL	NEFL
TRPS1	TRPS1
NPC2	NPC2
UFSP2	UFSP2
PRODH2	PRODH2
POLR3H	POLR3H
ITM2A	ITM2A
ORAI1	ORAI1
SERF2	SERF2
DYRK3	DYRK3
CHUK	CHUK
MAP10	MAP10
TRIM67	TRIM67
MAP3K9	MAP3K9
SLC35B2	SLC35B2
TBXA2R	TBXA2R
C8orf88	C8orf88
AP1S2	AP1S2
SLC2A7	SLC2A11L4
SLC2A7	SLC2A9L
SLC2A7	SLC2A11L1
SLC2A7	SLC2A11L5
LSM1	LSM1
TMEM151B	TMEM151B
TBC1D22A	TBC1D22A
MTMR10	MTMR10
ANAPC10	ANAPC10
HSPG2	HSPG2
ESRP1	ESRP1
RAE1	RAE1
SEMA4G	SEMA4G
MIER3	MIER3
CELA3B	CELA3B
CELA3A	CELA3B
ASPDH	ASPDH
ICE2	ICE2
MIR135A2	gga-mir-135a-2
AVPR1B	AVPR1B
SLC26A2	SLC26A2
SCN3A	SCN9A
SCN3A	SCN3A
RABGAP1L	RABGAP1L
GABRP	GABRP
ERCC6	ERCC6
PBX4	PBX4
MAGED2	NSMCE3
BAZ1A	BAZ1A
ZBTB46	ZBTB46
GID8	GID8
ITIH2	ITIH2
ESCO1	ESCO1
ITK	ITK
RPN2	RPN2
ANKRD17	ANKRD17
RPP25L	RPP25L
DOLPP1	DOLPP1
C1QL4	C1QL4
ADRA1B	ADRA1B
TMEM74	TMEM74
NLN	NLN
TUBA8	TUBA8A
TUBA8	TUBA8B
PIP4P2	TMEM55A
AMN1	AMN1
TMSB15B	TMSB15B
ATP9B	ATP9B
ARHGAP11A	ARHGAP11B
AMPD1	AMPD1
MED15	MED15
CALB1	CALB1
CCDC97	CCDC97
NR6A1	NR6A1
EDIL3	EDIL3
LBX2	LBX2
H3-7	H3C33
WNT6	WNT6
NXPH1	NXPH1
LRP1	LRP1
COL8A2	COL8A2
LRATD2	FAM84B
ELOVL7	ELOVL7
MAPK15	MAPK15
STX6	STX10
TWIST1	TWIST1
AMER3	AMER3
SORD	SORD
PER2	PER2
CXCL14	CXCL14
ABCA13	ABCA13
GORAB	GORAB
BTK	BTK
SERINC5	SERINC5
C9orf85	C9orf85
CAAP1	CAAP1
DUSP1	DUSP1
SOX11	SOX11
AKAP13	AKAP13
FAM151B	FAM151BL
TMEM215	TMEM215
ELF3	ELF3
NRP2	NRP2
TRUB2	TRUB2
C5orf15	C5orf15
MRPS30	MRPS30
LEAP2	LEAP2
EIF3E	EIF3E
MED22	MED22
SLC34A1	SLC34A1
ABRAXAS2	ABRAXAS2
ETV3	ETV3
C1orf94	C1orf94
PDCD6	PDCD6
GRPEL1	GRPEL1
MRPL1	MRPL1
SEC16A	SEC16A
NPSR1	NPSR1
CSMD2	CSMD2
AKR1C4	AKR1B10
MEF2B	MEF2B
RNU7-49P	U7
RNF180	RNF180
RCHY1	RCHY1
MIP	MIP
PCSK2	PCSK2
PYGO2	PYGO2
FBXO33	FBXO33
RPS29	RPS29
DCST2	DCST2
CELF2	CELF2
LRRC10	LRRC10
TRIL	TRIL
NACAD	NACAD
SEC61B	SEC61B
MYRFL	MYRFL
GRHPR	GRHPR
CDC42BPB	CDC42BPB
RAD21L1	RAD21L1
ZCCHC2	ZCCHC2
IL7R	IL7R
Vault	Vault
PARD3B	PARD3B
ZNF804B	ZNF804B
FURIN	FURIN
CTPS2	CTPS2
AGBL4	AGBL4
IL4I1	MAOB
FAM210A	FAM210A
CCDC125	CCDC125
ROR1	ROR1
TEX47	C7orf62
RDH11	RDH11
CFAP74	CFAP74
CRK	CRK
DNAH10	DNAH10
HAND1	HAND1
LMAN1	LMAN1L
NOTCH1	NOTCH1
ERBB4	ERBB4
TRIM52	TRIM41
HGF	HGF
ARL10	ARL10
NXN	NXN
SLC23A1	SLC23A1
RASEF	RASEF
MAST3	MAST3
KCNH7	KCNH7
EIF4G3	EIF4G3
OTUD6B	OTUD6A
CAMKMT	CAMKMT
SYNJ2BP	SYNJ2BP
SARDH	SARDH
ACACA	ACACA
MTG2	MTG2
SIX3	SIX3
GSTZ1	GSTZ1
PLCL1	PLCL1
RPS20	RPS20
MARVELD2	MARVELD2
GPR39	GPR39
SFRP1	SFRP1
PNOC	PNOC
PTBP1	PTBP1
TMEM181	TMEM181
TDRD15	TDRD15
OR9K2	OR5AP2
APOB	APOB
LMAN2	LMAN2
PARD6B	PARD6B
SLA2	SLA2
IGF2	IGF2
SEC61A2	SEC61A2
CEP135	CEP135
FUT10	FUT10
XRN2	XRN2
MGA	MGA
SCUBE1	SCUBE1
C8orf34	C8orf34
AGBL3	AGBL3
DNAJC22	DNAJC22
SLC9B1	SLC9B2
B2M	B2M
TRAPPC6B	TRAPPC6A
H3C1	H3C33
HDHD2	HDHD2
NUDT5	NUDT5
VWA3B	VWA3B
LINS1	LINS1
NCAPH2	NCAPH2
MAX	MAX
ELP3	ELP3
HTR4	HTR4
CBLIF	GIF
KCND2	KCND2
IMMP2L	IMMP2L
DLX5	DLX5
SYT15	SYT15
PTP4A1	PTP4A1
CYTL1	CYTL1
RPUSD2	RPUSD2
NPY4R	NPY4R
ACADSB	ACADSB
ARID3B	ARID3B
GHR	GHR
DLX6	DLX6
PRR33	PRR33
ASXL2	ASXL2
OXA1L	OXA1L
BUB1B	BUB1B
CPXM2	CPXM2
CYP2U1	CYP2U1
FAT1	FAT1
CSNK2A1	CSNK2A1
AKR1B15	AKR1B10
TUBA4B	TUBA4AL
UBE2D1	UBE2D1
NOTO	GNOT2
FBXO41	FBXO41
TMEM229A	TMEM229B
STAG2	STAG2
DAD1	DAD1
ERICH1	ERICH1
STOX1	STOX1
SFRP2	SFRP2
FMC1	FMC1
SRD5A3	SRD5A3
B3GNT7	B3GNT7
ATG2B	ATG2A
COPG2	COPG2
