Gene.name	Human.gene.name
TRMU	TRMU
ZCCHC6	TUT7
PYURF	PYURF
FAM49B	CYRIB
COMMD10	COMMD10
MAEL	MAEL
	OPLAH
GRIA2	GRIA2
WDYHV1	NTAQ1
RCAN2	RCAN2
HERC3	HERC3
CNTN5	CNTN5
YTHDC2	YTHDC2
FBXO32	FBXO32
TERF2	TERF2
FAM198B	GASK1B
TPK1	TPK1
KLHL38	KLHL38
AHRR	AHRR
C2H9ORF30	MSANTD3
DESI2	DESI2
CCDC82	CCDC82
MCC	MCC
CYB5B	CYB5B
CNTNAP2	CNTNAP2
ECSCR	ECSCR
MAML2	MAML2
CCDC166	CCDC166
DCP2	DCP2
TMEM144	TMEM144
NFAT5	NFAT5
CELSR1	CELSR1
DNAJC18	DNAJC18
MZB1	MZB1
CYP39A1	CYP39A1
MAPK15	MAPK15
FAM83H	FAM83H
NQO1	NQO1
BCKDHA	BCKDHA
ADSS2	ADSS2
ANXA13	ANXA13
MTMR2	MTMR2
FAM13A	FAM13A
PTGFRN	PTGFRN
REEP5	REEP5
PLA2G7	PLA2G7
NOB1	NOB1
ATP5SL	DMAC2
PALLD	PALLD
ANKRD66	ANKRD66
CUL1	CUL1
FAM91A1	FAM91A1
TEX10	TEX10
SLC23A1	SLC23A1
WWP2	WWP2
EXOSC5	EXOSC5
SRP19	SRP19
ZBTB18	ZBTB18
PSMD7	PSMD7
INVS	INVS
ADGRF5	ADGRF5
CEP57	CEP57
ADPRH	ADPRH
ERP44	ERP44
GPRIN3	GPRIN3
ZFHX3	ZFHX3
AKT3	AKT3
SCRIB	SCRIB
AADAT	AADAT
EZH2	EZH2
CCDC97	CCDC97
DHX38	DHX38
APC	APC
STX17	STX17
HNRNPUL1	HNRNPUL1
PAIP2B	PAIP2
FAM76B	FAM76B
PDIA4	PDIA4
PLD3	PLD3
TNFRSF21	TNFRSF21
MFAP3L	MFAP3L
NR4A3	NR4A3
PUF60	PUF60
LRRC6	DNAAF11
IST1	IST1
	C19orf47
TMEM71	TMEM71
MAFA	MAFA
HPF1	HPF1
ZC3H3	CPSF4L
MATR3	MATR3
RAMP3	RAMP3
RPRD1A	RPRD1A
SNCA	SNCA
CLCN3	CLCN3
MACIR	MACIR
ZNF821	ZNF821
MMRN1	MMRN1
AKT2	AKT2
SIL1	SIL1
C18orf21	C18orf21
	NRBP2
PLD5	PLD5
CTNNA1	CTNNA1
SESN3	SESN3
PHF20L1	PHF20L1
ADCY1	ADCY1
GALNT1	GALNT1
CD36	CD36
CD2AP	CD2AP
ENDOD1	ENDOD1
LRRTM2	LRRTM2
ATXN1L	ATXN1L
INO80C	INO80C
MAP1LC3C	MAP1LC3C
PSMD8	PSMD8
GNAT3	GNAT3
FAM84B	LRATD2
GNAI1	GNAI1
SMARCA4	SMARCA4
CWC15	CWC15
NAPRT	NAPRT
NEK1	NEK1
MSX2	MSX2
IGFBP1	IGFBP1
TMEM245	TMEM245
OPN5	OPN5
EXO1	EXO1
PPIP5K2	PPIP5K2
MAGI2	MAGI2
AP1G1	AP1G1
IGFBP3	IGFBP3
SH3RF1	SH3RF1
	APBB3
EBAG9	EBAG9
PTCHD4	PTCHD4
SHKBP1	SHKBP1
SYBU	SYBU
PHLPP2	PHLPP2
WDR64	WDR64
RSFR	RNASE11
RSFR	RNASE2
RSFR	RNASE3
SLC7A11	SLC7A11
FRRS1L	FRRS1L
TNS3	TNS3
SRA1	SRA1
GIN1	GIN1
cOpn3m	OPN3
AMOTL1	AMOTL1
FKBP1B	FKBP1B
NHLRC1	NHLRC1
MARVELD3	MARVELD3
EPB41L4B	EPB41L4B
SF3B6	SF3B6
C11orf97	C11orf97
EPPK1	EPPK1
NOCT	NOCT
CSMD3	CSMD3
	LTBP4
RNF166	RNF166
CTU2	CTU2
CCSER1	CCSER1
ANKRD49	ANKRD49
PAM	PAM
FAM228	FAM228A
FAM228	FAM228B
RNF139	RNF139
PTPN3	PTPN3
Atoh1	ATOH1
PIEZO1	PIEZO1
FAM19A5	TAFA5
MRE11	MRE11
NUDT12	NUDT12
CHUK	CHUK
GPR83	GPR83
RAB33B	RAB33B
MOCOS	MOCOS
EEF1D	EEF1D
PANX1	PANX1
PYCRL	PYCR3
KIAA0513	KIAA0513
HIST1H2B5L	H2BC1
EIF4EBP3	ANKHD1
TRPS1	TRPS1
AGTPBP1	AGTPBP1
RGS7	RGS7
HEPHL1	HEPHL1
EVA1A	EVA1A
CCDC6	CCDC6
TSTA3	GFUS
TM4SF1a	TM4SF20
TM4SF1a	TM4SF5
SLC16A9	SLC16A9
RXFP1	RXFP1
SLC4A9	SLC4A9
HBEGF	HBEGF
YIF1B	YIF1B
C4H4ORF46	C4orf46
	SLC5A4
TP53I3	PFN4
NAA35	NAA35
	SPINT2
ZC3H4	ZC3H4
TATDN1	TATDN1
TMEM254	TMEM254
NDUFB9	NDUFB9
VSTM5	VSTM5
GRAMD4	GRAMD4
PFDN1	PFDN1
GOLM1	GOLM1
ITSN2	ITSN2
SAE1	SAE1
ETFDH	ETFDH
AAED1	PRXL2C
MED17	MED17
HSD17B3	HSD17B3
KARS1	KARS1
CCDC9	CCDC9
GPN1	GPN1
C11orf54	C11orf54
BRD1	BRD1
TERF2IP	TERF2IP
C5AR1	C5AR1
C5AR1	C5AR2
TAF1D	TAF1D
GREM2	GREM2
PPID	PPID
DHX34	DHX34
MTSS1	MTSS1
ZNF512	ZNF512
SLC35D2	SLC35D2
KHDRBS3	KHDRBS3
SQLE	SQLE
ZNF367	ZNF367
ADAT1	ADAT1
WASHC5	WASHC5
PRR7	PRR7
HABP4	HABP4
FAM135B	FAM135B
FBXO46	FBXO46
NSMCE2	NSMCE2
GABARAPL2	GABARAPL2
DBN1	DBN1
TRIB1	TRIB1
Y_RNA	Y_RNA
U5	RNU5B-3P
OPA3	OPA3
	FAM240A
	FAM240B
CFC1	CFC1
CFC1	CFC1B
FNIP2	FNIP2
VASP	VASP
IFT172	IFT172
ZBED4	ZBED4
RANBP9	RANBP9
FER1L6	FER1L6
C4orf45	SPMIP2
KRTCAP3	KRTCAP3
LVRN	LVRN
LRRC2	LRRC2
CNTNAP4	CNTNAP4
NRBP1	NRBP1
PPP1R37	PPP1R37
ANXA11	ANXA11
KCNK9	KCNK9
SMCO4	SMCO4
GEMIN7	GEMIN7
PPM1G	PPM1G
Metazoa_SRP	Metazoa_SRP
Metazoa_SRP	RN7SL752P
Metazoa_SRP	RN7SL767P
Metazoa_SRP	RN7SL674P
TBCB	TBCB
ECD	ECD
CHRM3	CHRM3
TRAPPC9	TRAPPC9
FAM149B1	FAM149B1
gga-mir-99a	MIR99A
ALG12	ALG12
MIRLET7C	MIRLET7C
TMEM65	TMEM65
gga-mir-125b-2	MIR125B2
ACP6	ACP6
DEUP1	DEUP1
LIPG	LIPG
TMEM231	TMEM231
DNAJC9	DNAJC9
ZNF513	ZNF513
ARHGAP35	ARHGAP35
UTP23	UTP23
RAPGEF2	RAPGEF2
PDLIM7	PDLIM7
IGSF3	IGSF3
ZDHHC7	ZDHHC7
SPIN1	SPIN1
SPIN1	SPIN2A
SPIN1	SPIN4
SPIN1	SPIN3
SPIN1	SPIN2B
SNX17	SNX17
RAD21	RAD21
SLC36A4	SLC36A4
CRELD2	CRELD2
TFAM	TFAM
SUPT5H	SUPT5H
PIK3CG	PIK3CG
SLC30A8	SLC30A8
RYR2	RYR2
MTNR1B	MTNR1B
NXNL2	NXNL2
MED29	MED29
SNORD73	SNORD73A
SNORD73	SNORD73B
EIF2B4	EIF2B4
AGO2	AGO2
GRID2	GRID2
	TPM2
PRKAR2B	PRKAR2B
TMEM214	TMEM214
PTTG2	PTTG2
PTTG2	PTTG1
KCTD15	KCTD15
TLL1	TLL1
HBP1	HBP1
MED30	MED30
ARL14EPL	ARL14EPL
PAF1	PAF1
UBE2D1	UBE2D1
AGBL5	AGBL5
EXT1	EXT1
EED	EED
SLU7	SLU7
DARS	DARS1
CD72L2	CD72
C1QTNF2	C1QTNF2
CAD	CAD
CXCR4	CXCR4
	SAMD4B
HIKESHI	HIKESHI
HTRA3	HTRA3
AP3S1	AP3S1
MTR	MTR
THSD7B	THSD7B
	WASL
	MS4A18
	MS4A10
	MS4A14
	MS4A2
	MS4A13
	MS4A6E
	MS4A6A
	MS4A15
	MS4A5
	MS4A7
LRFN1	LRFN1
RPLP1	RPLP1
SETD7	SETD7
COG5	COG5
S1PR3	S1PR3
ERGIC1	ERGIC1
ACTN2	ACTN2
CISD1	CISD1
ATG12	ATG12
SYCN	SYCN
EMILIN1	EMILIN1
CD72L1	CD72
JPH3	JPH3
SCOC	SCOC
PRKACA	PRKACG
HEATR1	HEATR1
CDKL2	CDKL2
SHC3	SHC3
BOD1L1	BOD1L1
TENM4	TENM4
KHK	KHK
IPMK	IPMK
CKS2	CKS2
MAML3	MAML3
LGALS8	LGALS8
MCCC2	MCCC2
CREBZF	CREBZF
CXCL13L3	CXCL13
HNMT	HNMT
FUT4	FUT4
CCNJL	CCNJL
RPP25L	RPP25L
SECISBP2	SECISBP2
PAK4	PAK4
ABHD1	ABHD1
PTK2	PTK2
CARTPT	CARTPT
SAMD12	SAMD12
TMEM128	TMEM128
CLGN	CLGN
DCTN3	DCTN3
MRPS12	MRPS12
	TAS2R4
	TAS2R38
	TAS2R5
RPL26L1	RPL26
SPOPL	SPOPL
LYAR	LYAR
NFKBIB	NFKBIB
ARID3C	ARID3C
gga-mir-187	MIR187
PREB	PREB
ZBTB49	ZBTB49
LSM14A	LSM14A
FH	FH
KCNN2	KCNN2
SEMA4D	SEMA4D
ADGRA3	ADGRA3
FABP6	FABP6
SIRT2	SIRT2
SLC5A6	SLC5A6
SLC6A19	SLC6A19
PCDH15	PCDH15
NXPH2	NXPH2
DUS4L	DUS4L
PCDH10	PCDH10
NSG1	NSG1
TNFRSF11B	TNFRSF11B
GADD45G	GADD45G
HNRNPL	HNRNPL
ATRAID	ATRAID
ATP6V0E1	ATP6V0E1
ECH1	ECH1
PCDH18	PCDH18
KLHDC4	KLHDC4
DTWD2	DTWD2
DENND3	DENND3
STX18	STX18
BCAP29	BCAP29
RUSC2	RUSC2
ERO1B	ERO1B
SIRT1	SIRT1
SLC45A4	SLC45A4
SLC26A4	SLC26A4
CREBRF	CREBRF
DNAJC12	DNAJC12
MGAT4D	MGAT4D
COLEC10	COLEC10
PCDH7	PCDH7
PWWP2A	PWWP2A
	LRP1B
MAL2	MAL2
CBLL1	CBLL2
CBLL1	CBLL1
ACTN4	ACTN4
ELMOD2	ELMOD2
HSD17B4	HSD17B4
CCN3	CCN3
MPV17	MPV17
GPR137B	GPR137B
ACOX3	ACOX3
CTNNA3	CTNNA3
MAP4K1	MAP4K1
TTC1	TTC1
TBC1D9	TBC1D9
DIRAS2	DIRAS2
TRIM54	TRIM54
BNIP1	BNIP1
UNC13B	UNC13B
SLC26A3	SLC26A3
LRRTM3	LRRTM3
GPR20	GPR20
DNAJC5G	DNAJC5G
RNF150	RNF150
NKX2-5	NKX2-5
DLD	DLD
NID1	NID1
SLC22A15L	SLC22A9
SLC22A15L	SLC22A24
SLC22A15L	SLC22A10
SLC22A15L	SLC22A25
SLC22A15L	SLC22A11
EIF3K	EIF3K
ADRA1B	ADRA1B
SS18L2	SS18L2
PTP4A3	PTP4A3
LAMB1	LAMB1
ZNF330	ZNF330
KYNU	KYNU
SYK	SYK
SLC30A3	SLC30A3
ENPP2	ENPP2
ZFAT	ZFAT
STC2	STC2
TESK1	TESK1
ERGIC2	ERGIC2
TPPP2	TPPP2
GTF3C2	GTF3C2
HSF1	HSF1
CD72	CD72
GARRE1	GARRE1
LYST	LYST
REEP3	REEP3
TNFAIP8	TNFAIP8
LRRK2	LRRK2
IL15	IL15
TAF2	TAF2
CA5A	CA5B
DMXL1	DMXL1
DSCC1	DSCC1
	SMAD4
PHTF2	PHTF2
RAB28	RAB28
ARHGAP15	ARHGAP15
IL12B	IL12B
CDO1	CDO1
BOD1	BOD1
BOD1	BOD1L2
RYR1	RYR1
INPP4B	INPP4B
ASXL2	ASXL2
GPI	GPI
TMEM60	TMEM60
DEPTOR	DEPTOR
TMED7	TMED7
CPEB4	CPEB4
RSBN1L	RSBN1L
MAPRE3	MAPRE3
MARVELD2	MARVELD2
BANP	BANP
AUH	AUH
WTIP	WTIP
CNTFR	CNTFR
GNG4	GNG4
PTPN12	PTPN12
GTF2H2	GTF2H2
GTF2H2	GTF2H2C
JMJD1C	JMJD1C
SMARCA5	SMARCA5
	SNORD6
HMP19	NSG2
COL14A1	COL14A1
	SNORD5
U6	RNU6-1292P
SMN	SMN2
SMN	SMN1
BOP1	BOP1
GTDC1	GTDC1
DPYSL5	DPYSL5
B3GALNT2	B3GALNT2
DOK3	DOK3
ZNF518B	ZNF518B
NFIL3	NFIL3
	SERF1B
	SERF1A
DDX41	DDX41
ROR2	ROR2
TBCE	TBCE
GSAP	GSAP
BDP1	BDP1
SCX	SCX
ZEB2	ZEB2
NRBF2	NRBF2
MRPL13	MRPL13
SPTLC1	SPTLC1
GGPS1	GGPS1
FAM193B	FAM193B
KROX20	EGR2
DNMT3A	DNMT3A
ZNF469	ZNF469
ADO	ADO
ACVR2A	ACVR2A
ZNF365	ZNF365
MTBP	MTBP
ARID4B	ARID4B
RTKN2	RTKN2
B4GALT1	B4GALT1
MROH1	MROH1
SNTB1	SNTB1
RBM34	RBM34
CDC42SE2	CDC42SE2
MXD3	ZFYVE16
UBA2	UBA2
HS3ST1	HS3ST1
ORC4	ORC4
MXD3	MXD3
CCDC146	CCDC146
HGH1	HGH1
ARID5B	ARID5B
IL11RA	IL11RA
HAS2	HAS2
TOMM20	TOMM20
ZFPM1	ZFPM1
PRELID1	PRELID1
MBD5	MBD5
CLNK	CLNK
FGL2	FGL2
SPINK4	SPINK4
TAF5L	TAF5L
FAM185A	FAM185A
CES1L1	CES3
	DTNB
KIF3C	KIF3C
FBXL13	FBXL13
XPA	XPA
CRIM1	CRIM1
RAB10	RAB10
PMPCB	PMPCB
WDR1	WDR1
MAF1	MAF1
GAREM2	GAREM2
PIK3C3	PIK3C3
HADHA	HADHA
ABCB10	ABCB10
EPC2	EPC2
CIDEC	CIDEC
TMEM26	TMEM26
RAB24	RAB24
HADHB	HADHB
TMEM8B	TMEM8B
NSD1	NSD1
ZC3H18	ZC3H18
SHARPIN	SHARPIN
DNAJC2	DNAJC2
TAF1C	TAF1C
RHOBTB1	RHOBTB1
KIF5C	KIF5C
TIGD5	TIGD5
LYPD6B	LYPD6B
LYPD6	LYPD6
NCBP1	NCBP1
HINT1	HINT2
LYRM7	LYRM7
URB2	URB2
CDK1	CDK1
LRRC17	LRRC17
ZHX2	ZHX2
TSTD2	TSTD2
HINT1	HINT1
CHSY3	CHSY3
AFAP1	AFAP1
MMADHC	MMADHC
DERL1	DERL1
ARMC10	ARMC10
SLC25A46	SLC25A46
	CES3
TMOD1	TMOD1
XPO5	XPO5
IL17C	IL17C
SPAG8	SPAG8
TBC1D31	TBC1D31
TDRD7	TDRD7
CYBA	CYBA
RND3	RND3
NPR2	NPR2
PSMC2	PSMC2
SLC27A6	SLC27A6
MVD	MVD
GALNT2	GALNT2
TENM2	TENM2
KLHL29	KLHL29
FAM96B	CIAO2B
ABLIM2	ABLIM2
NDUFA12	NDUFA12
FAM83A	FAM83A
MSMP	MSMP
NAPEPLD	NAPEPLD
APOLD1	APOLD1
FER	FER
DGKQ	DGKQ
RRAD	RRAD
TFAP2A	TFAP2A
MINAR2	MINAR2
DDX47	DDX47
ACO1	ACO1
SLC26A5	SLC26A5
JARID2	JARID2
ANK3	ANK3
ADAMTS19	ADAMTS19
MAT2B	MAT2B
GPRC5A	GPRC5D
GPRC5A	GPRC5A
RBM43	RBM43
ATAD2B	ATAD2B
	ANXA4
POLR1C	POLR1C
SH3TC1	SH3TC1
RGP1	RGP1
DTNBP1	DTNBP1
SMIM45	SMIM45
	MANBAL
UBXN2A	UBXN2A
NUDCD2	NUDCD2
EDN1	EDN1
YIPF3	YIPF3
RELN	RELN
C2H8ORF76	ZHX1
GBA2	GBA2
ISOC1	ISOC1
PRR16	PRR16
CDH20	CDH20
CCDC149	CCDC149
C2H8ORF76	C8orf76
NMI	NMI
HMMR	HMMR
WISP1	CCN4
LRRC73	LRRC73
CCNG1	CCNG1
DAPK1	DAPK1
FOXE1	FOXE1
NDRG1	NDRG1
PDP2	PDP2
MAN2A1	MAN2A1
STX10	STX6
TMCC3	TMCC3
PIAS2	PIAS2
KIAA1614	KIAA1614
ST3GAL1	ST3GAL1
ATMIN	PPP1R3E
MFSD2B	MFSD2B
CXorf36	DIPK2B
PAK1IP1	PAK1IP1
MC1R	MC1R
GABRG2	GABRG2
TNFAIP6	TNFAIP6
NDUFA6	NDUFA6
YIPF4	YIPF4
XPR1	XPR1
WDCP	WDCP
SMDT1	SMDT1
PJA2	PJA2
PJA2	PJA1
RNASEL	RNASEL
N6AMT1	HEMK2
SOD3	SOD3
GABRA1	GABRA1
FAM109B	PHETA2
TMEM14C	TMEM14C
RIF1	RIF1
ORC5	ORC5
ST8SIA5	ST8SIA5
NAGA	NAGA
LTN1	LTN1
SELENOI	SELENOI
GFOD1	GFOD1
SMAD7	SMAD7
RWDD2B	RWDD2B
GABRA6	GABRA6
CACNA1E	CACNA1E
DHX15	DHX15
WBP2NL	WBP2NL
RGSL1	RGSL1
PTK2B	PTK2B
USP16	USP16
TBC1D7	TBC1D7
LHFPL3	LHFPL3
	SLC16A9
SEPTIN3	SEPTIN3
GABRB2	GABRB2
PPARGC1A	PPARGC1A
CTIF	CTIF
ELF2	ELF2
EPB41L4A	EPB41L4A
GLUL	GLUL
CCDC59	CCDC59
KMT2E	KMT2E
	GBA3
ATP10B	ATP10B
NAA15	NAA15
METTL25	METTL25
ZBTB7C	ZBTB7C
ZNF346	ZNF346
CHRNA2	CHRNA2
CYP2D6	CYP2D6
RGS7BP	RGS7BP
GLT8D2	GLT8D2
CCT8	CCT8
CDC42EP3	CDC42EP3
HK3	HK3
TDG	TDG
SLC2A9	SLC2A9
C12orf73	UQCC6
TNR	TNR
IRF2BP2	IRF2BP2
C7orf73	STMP1
MGST2	MGST2
CNOT4	CNOT4
NEB	NEB
DRD5	DRD5
SRPK2	SRPK2
THBS4	COMP
TCF4	TCF4
AHCTF1	AHCTF1
FAM13C	FAM13C
EIF4E1B	EIF4E
OTOP1	OTOP1
EPHX2	EPHX2
PHACTR1	PHACTR1
GLIS3	GLIS3
NTRK2	NTRK2
IQSEC3	IQSEC3
BRINP3	BRINP3
IFNAR2	IFNAR2
SEPSECS	SEPSECS
PUS7	PUS7
SNCB	SNCB
STRA8	STRA8
LGI2	LGI2
CDHR2	CDHR2
NKX3-2	NKX3-2
PHYHIPL	PHYHIPL
TNPO1	TNPO1
DSP	DSP
RNF44	RNF44
RINT1	RINT1
	NEB
EFCAB10	EFCAB10
SCCPDH	SCCPDH
KCNV2	KCNV2
RIOK1	RIOK1
ARL5A	ARL5A
SCARA5	SCARA5
FAF2	FAF2
	FBXL17
ATXN7L1	ATXN7L1
PBK	PBK
LHX9	LHX9
PAH	PAH
	NFAM1
BICC1	BICC1
OLIG2	OLIG2
C1orf53	C1orf53
ESCO2	ESCO2
CLTB	CLTB
WDR7	WDR7
IL10RB	IL10RB
WDR41	WDR41
CACNB4	CACNB4
IGF1	IGF1
HSPA9	HSPA9
RAB4A	RAB4A
EFNA5	EFNA5
CCSER2	CCSER2
SSR1	SSR1
HUNK	HUNK
MIS18A	MIS18A
PDE8B	PDE8B
gga-mir-30b	MIR30B
CCSAP	CCSAP
HSP90B1	HSP90B1
CCDC25	CCDC25
STAM2	STAM2
TXNL1	TXNL1
TCF20	TCF20
KCNIP4	KCNIP4
DENND1B	DENND1B
WDR36	WDR36
ETF1	ETF1
URB1	URB1
PACRGL	PACRGL
NT5DC3	NT5DC3
GRID1	GRID1
CRB1	CRB1
SYPL1	SYPL1
NUP133	NUP133
NEDD4L	NEDD4L
FBP2	FBP2
FBP1	FBP1
ALPK2	ALPK2
WAPL	WAPL
ZBTB41	ZBTB41
FMNL2	FMNL2
SCARA3	SCARA3
CNST	CNST
OPN4	OPN4
SNORD71	SNORD71
	AOPEP
TFB2M	TFB2M
FBXW11	FBXW11
	SNORD68
RREB1	RREB1
NAMPTP1	NAMPT
PCASP1	MALT1
STAB2	STAB2
ASPM	ASPM
gga-mir-140	MIR140
PIGM	PIGM
CLU	CLU
ZNF532	ZNF532
CMTM4	CMTM4
U6	RNU6-155P
SLC35F6	SLC35F6
MAST4	MAST4
SEC11C	SEC11C
SLIT2	SLIT2
PRPF40A	PRPF40A
KCNK3	KCNK3
FANCC	FANCC
MRPL42	MRPL42
GRP	GRP
PICK1	PICK1
FGF18	FGF18
C2orf70	CIMIP2C
RFWD2	COP1
EVA1C	EVA1C
PTCH1	PTCH1
SOX10	SOX10
GAS8	GAS8
RAX	RAX
CACNA2D1	CACNA2D1
CD180	CD180
CPLX4	CPLX4
SLC35B3	SLC35B3
OTOF	OTOF
BRINP2	BRINP2
POLR2F	POLR2F
CDH1	CDH1
C21orf59	CFAP298
BLOC1S5	BLOC1S5
TLX3	TLX3
ASTN1	ASTN1
SOCS2	SOCS2
PROM1	PROM1
GAS1	GAS1
LDB3	LDB3
HGF	HGF
TXNDC5	TXNDC5
LMAN1L	LMAN1
C22orf23	C22orf23
BTF3	BTF3
GALNT13	GALNT13
PAPPA2	PAPPA2
RANBP17	RANBP17
DRC1	DRC1
BMP6	BMP6
AGGF1	AGGF1
SEMA3C	SEMA3C
SLC7A5	SLC7A5
ACAA2	ACAA2
BMPR1A	BMPR1A
CRADD	CRADD
FGFBP2	FGFBP2
KCNJ3	KCNJ3
MMRN2	MMRN2
TRIM35	TRIM35
CCDC71L	CCDC71L
FGFBP1	FGFBP1
CES1L2	CES3
MRPL17	MRPL17
NR4A2	NR4A2
CD38	CD38
GABRP	GABRP
PLXNC1	PLXNC1
RXRG	RXRG
STMN4	STMN4
SNCG	SNCG
GPD2	GPD2
SYNJ1	SYNJ1
LMX1A	LMX1A
	GALNT5
MICALL1	MICALL1
BST1	BST1
ST8SIA3	ST8SIA3
POMC	POMC
ERMN	ERMN
AQP3	AQP3
CEP83	CEP83
PAXBP1	PAXBP1
PBX1	PBX1
GLUD2	GLUD2
GLUD2	GLUD1
FBXL5	FBXL5
CYTIP	CYTIP
SLC25A3	SLC25A3
EIF3L	EIF3L
FAM35A	SHLD2
F2RL1	F2R
HIVEP1	HIVEP1
NUF2	NUF2
IKBIP	IKBIP
APAF1	APAF1
LRRC52	LRRC52
ANKRD54	ANKRD54
SMAD2	SMAD2
FAM169A	FAM169A
ADTRP	ADTRP
	ANKS1B
C21orf62	EPCIP
ALDH9A1	ALDH9A1
ACVR1C	ACVR1C
CC2D2A	CC2D2A
FAM219A	FAM219A
MCM3AP	MCM3AP
CENPM	CENPM
NUAK1	NUAK1
C1QTNF7	C1QTNF7
TMEM170B	TMEM170B
ADAMTS1	ADAMTS1
CPEB2	CPEB2
MGST3	MGST3
EFR3B	EFR3B
SIGMAR1	SIGMAR1
TNFRSF13C	TNFRSF13C
KCNIP1	KCNIP1
SHISA8	SHISA8
STIM2	STIM2
IQGAP2	IQGAP2
POFUT2	POFUT2
MTPN	MTPN
KCNMB1	KCNMB1
NEDD9	NEDD9
DNAJC27	DNAJC27
SREBF2	SREBF2
UCK2	UCK2
SYT15	SYT15B
SYT15	SYT15
ADAMTS5	ADAMTS5
NSA2	NSA2
SH3BP4	SH3BP4
TBC1D19	TBC1D19
ADCY3	ADCY3
ELOVL2	ELOVL2
CCKAR	CCKAR
GFM2	GFM2
AMN1	AMN1
CCDC134	CCDC134
LCP2	LCP2
KLHL20	KLHL20
ATVR1	ACVR1
SYCP2L	SYCP2L
SF3B1	SF3B1
NCOA4	NCOA4
SLC30A5	SLC30A5
DNAI1	DNAI1
CENPL	CENPL
FOXI1	FOXI1
MEI1	MEI1
MRPL39	MRPL39
CENPO	CENPO
TIMM23B	TIMM23
TIMM23B	TIMM23B
HEXB	HEXB
SLC8A2	SLC8A2
KPTN	KPTN
GCAT	GCAT
UPP2	UPP2
DOCK2	DOCK2
PARG	PARG
NAPA	NAPA
F2RL2	F2RL2
CCDC148	CCDC148
NABP1	NABP1
ZNF541	ZNF541
GCM2	GCM2
H-10	H1-0
XRCC6	XRCC6
PRKCDBP	CAVIN2
PRKCDBP	CAVIN3
DARS2	DARS2
BICRA	BICRA
PTRHD1	PTRHD1
FAM196B	INSYN2B
U2	RNU2-62P
CENPH	CENPH
GALT	GALT
EHD2	EHD2
gga-mir-27b	MIR27B
gga-mir-23b	MIR23B
AP2S1	AP2S1
RGS8	RGS8
OGDHL	OGDHL
TMEFF2	TMEFF2
PKP4	PKP4
MAK	MAK
NCOA1	NCOA1
SPDL1	SPDL1
LAMB4	LAMB4
DESI1	DESI1
MRPS36	KGD4
DIP2A	DIP2A
RBPJ	RBPJ
JAM2	JAM2
CHAT	CHAT
PMM1	PMM1
ZNF395	ZNF395
CDC14B	CDC14C
CDC14B	CDC14B
FKRP	FKRP
	TUBA1A
RGR	RGR
ACBD6	ACBD6
	TMEM14C
PNOC	PNOC
SMIM20	SMIM20
LRIT1	LRIT1
ATP5J	ATP5PF
CSDC2	CSDC2
SEL1L3	SEL1L3
LHX4	LHX4
STRN4	STRN4
CNGB3	CNGB3
LRIT2	LRIT2
TRIOBP	TRIOBP
QSOX1	QSOX1
SLC39A10	SLC39A10
NOL6	NOL6
GCNT2	GCNT2
FBXO43	FBXO43
CD83	CD83
	SNORA14B
	SNORA14A
ELP3	ELP3
CEP350	CEP350
DNAH7	DNAH7
SNRPD2	SNRPD2
GABPA	GABPA
GNPAT	GNPAT
NOL12	NOL12
POLR3H	POLR3H
CCL19	CCL19
SPAG1	SPAG1
	NLRC4
LY86	LY86
CEP170	CEP170
PHF24	PHF24
SLC34A2	SLC34A2
TOR1AIP1	TOR1AIP1
ENC1	ENC1
ATP6V1C1	ATP6V1C1
STK17B	STK17B
SLIT3	SLIT3
BAALC	BAALC
TTC26	IFT56
APP	APP
TANC1	TANC1
TOR1AIP2	TOR1AIP2
CDHR1	CDHR1
UBN2	UBN2
DYM	DYM
F13A1	F13A1
FBXO16	FBXO16
DND1	DND1
C9orf24	SPMIP6
HECW2	HECW2
FMC1	FMC1
FAM163A	FAM163A
CYYR1	CYYR1
GHITM	GHITM
ANAPC4	ANAPC4
HARS2	HARS1
HARS2	HARS2
LGALS1A	LGALS1
TDRD5	TDRD5
CDK7	CDK7
FZD6	FZD6
ZCCHC4	ZCCHC4
NRG3	NRG3
RIPK4	RIPK4
NRN1	NRN1
WDSUB1	WDSUB1
NPHS2	NPHS2
PI4K2B	PI4K2B
SH2D4B	SH2D4B
LUC7L2	LUC7L2
PRDM15	PRDM15
FZD3	FZD3
EXTL3	EXTL3
MTERF2	MTERF2
GTF3C3	GTF3C3
AXDND1	AXDND1
ZMAT2	ZMAT2
LCORL	LCORL
TMEM263	TMEM263
POLDIP3	POLDIP3
C2orf66	C2orf66
ANKDD1B	ANKDD1B
TSPAN14	TSPAN14
INTS9	INTS9
BAZ2B	BAZ2B
RRP7A	RRP7A
TPM2	TPM2
EXOSC3	EXOSC3
PGAP1	PGAP1
NCAPG	NCAPG
ATP8B1	ATP8B1
DYDC2	DYDC2
FARS2	FARS2
SERHL	SERHL2
	FAM184B
POLK	POLK
RIC8B	RIC8B
ZBTB21	ZBTB21
MED28	MED28
MAT1A	MAT1A
COL4A3BP	CERT1
NARS	NARS1
MARCH7	MARCHF7
ANKRD44	ANKRD44
TRIQK	TRIQK
MED18	MED18
C2CD2	C2CD2
NAA20	NAA20
HEBP1	HEBP1
RFX4	RFX4
LAP3	LAP3
SOAT1	SOAT1
